,short,full
5761,KM040075.1,KM040075.1 Hordeum arizonicum voucher H02144 clone...
5762,KM040076.1,KM040076.1 Hordeum arizonicum voucher H02144 clone...
5763,KM040077.1,KM040077.1 Hordeum bogdanii voucher BCC2063 marker...
5764,KM040078.1,KM040078.1 Hordeum bogdanii voucher BCC2070 marker...
5765,KM040079.1,KM040079.1 Hordeum bogdanii voucher H07498 marker...
5766,KM040080.1,KM040080.1 Hordeum brachyantherum voucher BCC2050 clone...
5767,KM040081.1,KM040081.1 Hordeum brachyantherum voucher BCC2050 clone...
5768,KM040082.1,KM040082.1 Hordeum brachyantherum voucher BCC2056 clone...
5769,KM040083.1,KM040083.1 Hordeum brachyantherum voucher BCC2056 clone...
5770,KM040084.1,KM040084.1 Hordeum brachyantherum voucher BCC2046 clone...
5771,KM040085.1,KM040085.1 Hordeum brachyantherum voucher BCC2046 clone...
5772,KM040086.1,KM040086.1 Hordeum brachyantherum voucher BCC2046 clone...
5773,KM040087.1,KM040087.1 Hordeum brevisubulatum voucher H00315 clone...
5774,KM040088.1,KM040088.1 Hordeum brevisubulatum voucher H00315 clone...
5775,KM040089.1,KM040089.1 Hordeum brevisubulatum voucher H00315 clone...
5776,KM040090.1,KM040090.1 Hordeum brevisubulatum voucher H00315 clone...
5777,KM040091.1,KM040091.1 Hordeum brevisubulatum voucher PI401374 marker...
5778,KM040092.1,KM040092.1 Hordeum brevisubulatum voucher PI401390 marker...
5779,KM040093.1,KM040093.1 Hordeum brevisubulatum voucher PI440419 marker...
5780,KM040094.1,KM040094.1 Hordeum brevisubulatum voucher GRA0894_97 clone...
5781,KM040095.1,KM040095.1 Hordeum brevisubulatum voucher GRA0894_97 clone...
5782,KM040096.1,KM040096.1 Hordeum brevisubulatum voucher GRA0894_97 clone...
5783,KM040097.1,KM040097.1 Hordeum brevisubulatum voucher BCC2016 clone...
5784,KM040098.1,KM040098.1 Hordeum brevisubulatum voucher BCC2016 clone...
5785,KM040099.1,KM040099.1 Hordeum brevisubulatum voucher PI531768 clone...
5786,KM040100.1,KM040100.1 Hordeum brevisubulatum voucher PI531768 clone...
5787,KM040101.1,KM040101.1 Hordeum brevisubulatum voucher PI531768 clone...
5788,KM040103.1,KM040103.1 Hordeum bulbosum voucher BCC2061 marker...
5789,KM040104.1,KM040104.1 Hordeum bulbosum voucher BCC2018 clone...
5790,KM040105.1,KM040105.1 Hordeum bulbosum voucher BCC2018 clone...
5791,KM040106.1,KM040106.1 Hordeum bulbosum voucher F2142 clone...
5792,KM040107.1,KM040107.1 Hordeum bulbosum voucher F2142 clone...
5793,KM040108.1,KM040108.1 Hordeum bulbosum voucher F2227 clone...
5794,KM040109.1,KM040109.1 Hordeum bulbosum voucher F2227 clone...
5795,KM040110.1,KM040110.1 Hordeum brachyantherum subsp. californicum voucher...
5796,KM040111.1,KM040111.1 Hordeum brachyantherum subsp. californicum voucher...
5797,KM040112.1,KM040112.1 Hordeum brachyantherum subsp. californicum voucher...
5798,KM040113.1,KM040113.1 Hordeum capense voucher BCC2062 clone...
5799,KM040114.1,KM040114.1 Hordeum capense voucher H00335 clone...
5800,KM040115.1,KM040115.1 Hordeum chilense voucher CN27413 marker...
5801,KM040116.1,KM040116.1 Hordeum chilense voucher JB006A2 marker...
5802,KM040117.1,KM040117.1 Hordeum comosum voucher JB015D1 marker...
5803,KM040118.1,KM040118.1 Hordeum comosum voucher JB022B4 marker...
5804,KM040119.1,KM040119.1 Hordeum comosum voucher JB412_1 marker...
5805,KM040120.1,KM040120.1 Hordeum cordobense voucher JB247A2 marker...
5806,KM040121.1,KM040121.1 Hordeum cordobense voucher JB255A2 marker...
5807,KM040122.1,KM040122.1 Hordeum depressum voucher BCC2047 clone...
5808,KM040123.1,KM040123.1 Hordeum depressum voucher BCC2047 clone...
5809,KM040124.1,KM040124.1 Hordeum depressum voucher BCC2052 clone...
5810,KM040125.1,KM040125.1 Hordeum depressum voucher BCC2052 clone...
5811,KM040126.1,KM040126.1 Dasypyrum villosum voucher GRA1020 marker...
5812,KM040127.1,KM040127.1 Dasypyrum villosum voucher GRA692 marker...
5813,KM040128.1,KM040128.1 Hordeum erectifolium voucher BCC2026 marker...
5814,KM040129.1,KM040129.1 Eremopyrum triticeum voucher GRA2250 marker...
5815,KM040130.1,KM040130.1 Hordeum euclaston voucher BCC2022 marker...
5816,KM040131.1,KM040131.1 Hordeum euclaston voucher BCC2029 marker...
5817,KM040132.1,KM040132.1 Hordeum euclaston voucher H01132 marker...
5818,KM040133.1,KM040133.1 Hordeum flexuosum voucher BCC2023 marker...
5819,KM040134.1,KM040134.1 Hordeum fuegianum voucher BCC2035 clone...
5820,KM040135.1,KM040135.1 Hordeum fuegianum voucher BCC2035 clone...
5821,KM040136.1,KM040136.1 Hordeum fuegianum voucher H01422 clone...
5822,KM040137.1,KM040137.1 Hordeum fuegianum voucher H01422 clone...
5823,KM040138.1,KM040138.1 Hordeum fuegianum voucher H02179 clone...
5824,KM040139.1,KM040139.1 Hordeum fuegianum voucher H02179 clone...
5825,KM040140.1,KM040140.1 Hordeum guatemalense voucher H02299 clone...
5826,KM040141.1,KM040141.1 Hordeum guatemalense voucher H02299 clone...
5827,KM040142.1,KM040142.1 Hordeum marinum subsp. gussoneanum voucher...
5828,KM040143.1,KM040143.1 Hordeum marinum subsp. gussoneanum voucher...
5829,KM040144.1,KM040144.1 Hordeum marinum subsp. gussoneanum voucher...
5830,KM040145.1,KM040145.1 Hordeum marinum subsp. gussoneanum voucher...
5831,KM040146.1,KM040146.1 Hordeum marinum subsp. gussoneanum voucher...
5832,KM040147.1,KM040147.1 Hordeum marinum subsp. gussoneanum voucher...
5833,KM040148.1,KM040148.1 Hordeum intercedens voucher BCC2044 marker...
5834,KM040149.1,KM040149.1 Hordeum intercedens voucher BCC2059 marker...
5835,KM040150.1,KM040150.1 Hordeum intercedens voucher FB2011018B1 marker...
5836,KM040151.1,KM040151.1 Hordeum jubatum voucher FB016 clone...
5837,KM040152.1,KM040152.1 Hordeum jubatum voucher FB016 clone...
5838,KM040153.1,KM040153.1 Hordeum jubatum voucher JB064 clone...
5839,KM040154.1,KM040154.1 Hordeum jubatum voucher JB064 clone...
5840,KM040155.1,KM040155.1 Hordeum lechleri voucher BCC2027 clone...
5841,KM040156.1,KM040156.1 Hordeum lechleri voucher BCC2027 clone...
5842,KM040157.1,KM040157.1 Hordeum lechleri voucher BCC2027 clone...
5843,KM040158.1,KM040158.1 Hordeum lechleri voucher JB044A1 clone...
5844,KM040159.1,KM040159.1 Hordeum lechleri voucher JB044A1 clone...
5845,KM040160.1,KM040160.1 Hordeum lechleri voucher JB044A1 clone...
5846,KM040161.1,KM040161.1 Hordeum lechleri voucher JB048A1 clone...
5847,KM040162.1,KM040162.1 Hordeum lechleri voucher JB048A1 clone...
5848,KM040163.1,KM040163.1 Hordeum lechleri voucher JB048A1 clone...
5849,KM040164.1,KM040164.1 Hordeum marinum voucher BCC2001 marker...
5850,KM040165.1,KM040165.1 Hordeum marinum voucher BCC2006 marker...
5851,KM040166.1,KM040166.1 Hordeum murinum subsp. glaucum voucher...
5852,KM040167.1,KM040167.1 Hordeum murinum subsp. glaucum voucher...
5853,KM040168.1,KM040168.1 Hordeum murinum subsp. leporinum voucher...
5854,KM040169.1,KM040169.1 Hordeum murinum subsp. leporinum voucher...
5855,KM040170.1,KM040170.1 Hordeum murinum subsp. murinum voucher...
5856,KM040171.1,KM040171.1 Hordeum murinum subsp. murinum voucher...
5857,KM040172.1,KM040172.1 Hordeum murinum subsp. murinum voucher...
5858,KM040173.1,KM040173.1 Hordeum murinum subsp. murinum voucher...
5859,KM040174.1,KM040174.1 Hordeum murinum subsp. leporinum voucher...
5860,KM040175.1,KM040175.1 Hordeum murinum subsp. leporinum voucher...
5861,KM040176.1,KM040176.1 Hordeum muticum voucher H0957 marker...
5862,KM040177.1,KM040177.1 Hordeum muticum voucher H06459 marker...
5863,KM040178.1,KM040178.1 Hordeum parodii voucher BCC2025 clone...
5864,KM040179.1,KM040179.1 Hordeum parodii voucher BCC2025 clone...
5865,KM040180.1,KM040180.1 Hordeum parodii voucher BCC2025 clone...
5866,KM040181.1,KM040181.1 Hordeum parodii voucher BCC2066 clone...
5867,KM040182.1,KM040182.1 Hordeum parodii voucher BCC2066 clone...
5868,KM040183.1,KM040183.1 Hordeum parodii voucher BCC2066 clone...
5869,KM040184.1,KM040184.1 Hordeum parodii voucher JB004_1 clone...
5870,KM040185.1,KM040185.1 Hordeum parodii voucher JB004_1 clone...
5871,KM040186.1,KM040186.1 Hordeum parodii voucher JB004_1 clone...
5872,KM040187.1,KM040187.1 Hordeum patagonicum voucher JB044Bd marker...
5873,KM040188.1,KM040188.1 Hordeum patagonicum voucher JB052Ba marker...
5874,KM040189.1,KM040189.1 Hordeum patagonicum voucher JB303B1 marker...
5875,KM040190.1,KM040190.1 Hordeum procerum voucher BCC2024 clone...
5876,KM040191.1,KM040191.1 Hordeum procerum voucher BCC2024 clone...
5877,KM040192.1,KM040192.1 Hordeum procerum voucher BCC2024 clone...
5878,KM040193.1,KM040193.1 Hordeum procerum voucher JB221A2 clone...
5879,KM040194.1,KM040194.1 Hordeum procerum voucher JB221A2 clone...
5880,KM040195.1,KM040195.1 Hordeum procerum voucher JB221A2 clone...
5881,KM040196.1,KM040196.1 Hordeum pubiflorum voucher BCC2068 marker...
5882,KM040197.1,KM040197.1 Hordeum pubiflorum voucher JB059B2a marker...
5883,KM040198.1,KM040198.1 Hordeum pusillum voucher BCC2049 marker...
5884,KM040199.1,KM040199.1 Hordeum pusillum voucher CN27877 marker...
5885,KM040200.1,KM040200.1 Hordeum roshevitzii voucher H07421a marker...
5886,KM040201.1,KM040201.1 Hordeum roshevitzii voucher H09157 marker...
5887,KM040202.1,KM040202.1 Hordeum secalinum voucher BCC2004 clone...
5888,KM040203.1,KM040203.1 Hordeum secalinum voucher JB104_1 clone...
5889,KM040204.1,KM040204.1 Hordeum stenostachys voucher JB214_4 marker...
5890,KM040205.1,KM040205.1 Hordeum stenostachys voucher JB218_5 marker...
5891,KM040206.1,KM040206.1 Secale vavilovii voucher R1027 marker...
5892,KM040207.1,KM040207.1 Taeniatherum caput-medusae voucher GRA1126 marker...
5893,KM040208.1,KM040208.1 Hordeum tetraploidum voucher JB010_4 clone...
5894,KM040209.1,KM040209.1 Hordeum tetraploidum voucher JB010_4 clone...
5895,KM040210.1,KM040210.1 Hordeum tetraploidum voucher JB026a clone...
5896,KM040211.1,KM040211.1 Hordeum tetraploidum voucher JB026a clone...
5897,KM040212.1,KM040212.1 Hordeum tetraploidum voucher JB029B4 clone...
5898,KM040213.1,KM040213.1 Hordeum tetraploidum voucher JB048C2b clone...
5899,KM040214.1,KM040214.1 Hordeum tetraploidum voucher JB048C2b clone...
5900,KM040215.1,KM040215.1 Triticum monococcum voucher TRI13061 marker...
5901,KM580665.1,KM580665.1 Triticum aestivum cultivar ACHF clone...
5902,KM580666.1,KM580666.1 Triticum aestivum cultivar CN17 clone...
5903,KM580667.1,KM580667.1 Triticum aestivum cultivar CN17 clone...
5904,KM580668.1,KM580668.1 Triticum aestivum cultivar Zhou8425B clone...
5905,KM580669.1,KM580669.1 Triticum aestivum cultivar Lumai11 clone...
5906,KM580670.1,KM580670.1 Triticum aestivum cultivar ACHF clone...
5907,KM580671.1,KM580671.1 Triticum aestivum cultivar ACHF clone...
5908,KM580672.1,KM580672.1 Triticum aestivum cultivar ACHF clone...
5909,KM580673.1,KM580673.1 Triticum aestivum cultivar ACHF clone...
5910,KM580674.1,KM580674.1 Triticum aestivum cultivar ACHF clone...
5911,KM580675.1,KM580675.1 Triticum aestivum cultivar ACHF clone...
5912,KM580676.1,KM580676.1 Triticum aestivum cultivar ACHF clone...
5913,KM580677.1,KM580677.1 Triticum aestivum cultivar ACHF clone...
5914,KM580678.1,KM580678.1 Triticum aestivum cultivar ACHF clone...
5915,KM580679.1,KM580679.1 Triticum aestivum cultivar ACHF clone...
5916,KM580680.1,KM580680.1 Triticum aestivum cultivar ACHF clone...
5917,KM580681.1,KM580681.1 Triticum aestivum cultivar ACHF clone...
5918,KM678036.1,KM678036.1 Triticum aestivum cultivar-specific SCAR marker...
5919,KM678037.1,KM678037.1 Triticum aestivum cultivar-specific SCAR marker...
5920,KM678038.1,KM678038.1 Triticum aestivum cultivar-specific SCAR marker...
5921,KM881629.1,KM881629.1 Secale cereale cultivar L07 U-box/armadillo...
5922,KP231286.1,KP231286.1 Agropyron cristatum isolate Z559 TRT1...
5923,KP326347.1,KP326347.1 Thinopyrum ponticum chromosome 7el1 microsatellite...
5924,KP326348.1,KP326348.1 Thinopyrum ponticum chromosome 7el2 microsatellite...
5925,KP400626.1,KP400626.1 Aegilops tauschii cultivar SY41 microsatellite...
5926,KP400627.1,KP400627.1 Triticum turgidum cultivar MY3478 microsatellite...
5927,KP400628.1,KP400628.1 Triticum aestivum cultivar NA0928 microsatellite...
5928,KP400629.1,KP400629.1 Triticum aestivum cultivar NA0928 microsatellite...
5929,KP420209.1,KP420209.1 Hordeum vulgare subsp. vulgare retrotransposon...
5930,KP420210.1,KP420210.1 Hordeum vulgare subsp. vulgare retrotransposon...
5931,KP420211.1,KP420211.1 Hordeum vulgare subsp. vulgare retrotransposon...
5932,KR610392.1,KR610392.1 Hordeum vulgare subsp. vulgare leucine...
5933,KR873398.1,KR873398.1 Dasypyrum villosum clone RT-CR_36 retrotransposon...
5934,KR873399.1,KR873399.1 Dasypyrum villosum clone RT-CR_39 retrotransposon...
5935,KR873400.1,KR873400.1 Dasypyrum villosum clone RT-CR_40 retrotransposon...
5936,KR873401.1,KR873401.1 Elymus spicatus clone RT-CR_2 retrotransposon...
5937,KR873402.1,KR873402.1 Elymus spicatus clone RT-CR_3 retrotransposon...
5938,KR873403.1,KR873403.1 Elymus spicatus clone RT-CR_6 retrotransposon...
5939,KR873404.1,KR873404.1 Elymus spicatus clone RT-CR_7 retrotransposon...
5940,KR873405.1,KR873405.1 Elymus spicatus clone RT-CR_32 retrotransposon...
5941,KR873406.1,KR873406.1 Thinopyrum bessarabicum clone RT-CR_32 retrotransposon...
5942,KR873407.1,KR873407.1 Thinopyrum bessarabicum clone RT-CR_32 retrotransposon...
5943,KR873408.1,KR873408.1 Thinopyrum bessarabicum clone RT-CR_32 retrotransposon...
5944,KR873409.1,KR873409.1 Thinopyrum bessarabicum clone RT-CR_32 retrotransposon...
5945,KR873410.1,KR873410.1 Thinopyrum intermedium clone RT-CR_1 retrotransposon...
5946,KR873411.1,KR873411.1 Thinopyrum intermedium clone RT-CR_17 retrotransposon...
5947,KR873412.1,KR873412.1 Thinopyrum intermedium clone RT-CR_19 retrotransposon...
5948,KR873413.1,KR873413.1 Thinopyrum intermedium clone RT-CR_20 retrotransposon...
5949,KR873414.1,KR873414.1 Thinopyrum intermedium clone RT-CR_21 retrotransposon...
5950,KR873415.1,KR873415.1 Thinopyrum intermedium clone RT-CR_23 retrotransposon...
5951,KR873416.1,KR873416.1 Thinopyrum intermedium clone RT-CR_24 retrotransposon...
5952,KR873417.1,KR873417.1 Thinopyrum intermedium clone RT-CR_49 retrotransposon...
5953,KR873418.1,KR873418.1 Dasypyrum villosum clone RT-CR_4 retrotransposon...
5954,KR873419.1,KR873419.1 Dasypyrum villosum clone RT-CR_8 retrotransposon...
5955,KR873420.1,KR873420.1 Dasypyrum villosum clone RT-CR_37 retrotransposon...
5956,KT024997.1,KT024997.1 Aegilops comosa clone Aco-18 transposon...
5957,KT024998.1,KT024998.1 Aegilops comosa clone Aco-20 transposon...
5958,KT024999.1,KT024999.1 Aegilops comosa clone Aco-19 transposon...
5959,KT025000.1,KT025000.1 Aegilops comosa clone Aco-9 transposon...
5960,KT025001.1,KT025001.1 Aegilops comosa clone Aco-10 transposon...
5961,KT025002.1,KT025002.1 Aegilops comosa clone Aco-15 transposon...
5962,KT025003.1,KT025003.1 Agropyron cristatum clone Acr-9 transposon...
5963,KT025004.1,KT025004.1 Agropyron cristatum clone Acr-12 transposon...
5964,KT025005.1,KT025005.1 Agropyron cristatum clone Acr-20 transposon...
5965,KT025006.1,KT025006.1 Agropyron cristatum clone Acr-2 transposon...
5966,KT025007.1,KT025007.1 Agropyron cristatum clone Acr-7 transposon...
5967,KT025008.1,KT025008.1 Agropyron cristatum clone Acr-27 transposon...
5968,KT025009.1,KT025009.1 Agropyron cristatum clone Acr-29 transposon...
5969,KT025010.1,KT025010.1 Agropyron cristatum clone Acr-10 transposon...
5970,KT025011.1,KT025011.1 Australopyrum velutinum clone Av-12 transposon...
5971,KT025012.1,KT025012.1 Australopyrum velutinum clone Av-13 transposon...
5972,KT025013.1,KT025013.1 Australopyrum velutinum clone Av-14 transposon...
5973,KT025014.1,KT025014.1 Australopyrum velutinum clone Av-15 transposon...
5974,KT025015.1,KT025015.1 Australopyrum velutinum clone Av-18 transposon...
5975,KT025016.1,KT025016.1 Australopyrum velutinum clone Av-2 transposon...
5976,KT025017.1,KT025017.1 Australopyrum velutinum clone Av-24 transposon...
5977,KT025018.1,KT025018.1 Australopyrum velutinum clone Av-4 transposon...
5978,KT025019.1,KT025019.1 Australopyrum velutinum clone Av-5 transposon...
5979,KT025020.1,KT025020.1 Crithopsis delileana clone Cd-12 transposon...
5980,KT025021.1,KT025021.1 Crithopsis delileana clone Cd-13 transposon...
5981,KT025022.1,KT025022.1 Crithopsis delileana clone Cd-14 transposon...
5982,KT025023.1,KT025023.1 Crithopsis delileana clone Cd-15 transposon...
5983,KT025024.1,KT025024.1 Crithopsis delileana clone Cd-20 transposon...
5984,KT025025.1,KT025025.1 Crithopsis delileana clone Cd-21 transposon...
5985,KT025026.1,KT025026.1 Crithopsis delileana clone Cd-22 transposon...
5986,KT025027.1,KT025027.1 Crithopsis delileana clone Cd-23 transposon...
5987,KT025028.1,KT025028.1 Crithopsis delileana clone Cd-24 transposon...
5988,KT025029.1,KT025029.1 Crithopsis delileana clone Cd-3 transposon...
5989,KT025030.1,KT025030.1 Crithopsis delileana clone Cd-4 transposon...
5990,KT025031.1,KT025031.1 Crithopsis delileana clone Cd-5 transposon...
5991,KT025032.1,KT025032.1 Crithopsis delileana clone Cd-6 transposon...
5992,KT025033.1,KT025033.1 Crithopsis delileana clone Cd-7 transposon...
5993,KT025034.1,KT025034.1 Crithopsis delileana clone Cd-9 transposon...
5994,KT025035.1,KT025035.1 Dasypyrum villosum clone Dv-10 transposon...
5995,KT025036.1,KT025036.1 Dasypyrum villosum clone Dv-14 transposon...
5996,KT025037.1,KT025037.1 Dasypyrum villosum clone Dv-15 transposon...
5997,KT025038.1,KT025038.1 Dasypyrum villosum clone Dv-16 transposon...
5998,KT025039.1,KT025039.1 Dasypyrum villosum clone Dv-18 transposon...
5999,KT025040.1,KT025040.1 Dasypyrum villosum clone Dv-2 transposon...
6000,KT025041.1,KT025041.1 Dasypyrum villosum clone Dv-23 transposon...
6001,KT025042.1,KT025042.1 Dasypyrum villosum clone Dv-24 transposon...
6002,KT025043.1,KT025043.1 Dasypyrum villosum clone Dv-3 transposon...
6003,KT025044.1,KT025044.1 Dasypyrum villosum clone Dv-4 transposon...
6004,KT025045.1,KT025045.1 Dasypyrum villosum clone Dv-5 transposon...
6005,KT025046.1,KT025046.1 Dasypyrum villosum clone Dv-7 transposon...
6006,KT025047.1,KT025047.1 Dasypyrum villosum clone Dv-8 transposon...
6007,KT025048.1,KT025048.1 Dasypyrum villosum clone Dv-9 transposon...
6008,KT025049.1,KT025049.1 Eremopyrum bonaepartis clone Eb-9 transposon...
6009,KT025050.1,KT025050.1 Eremopyrum bonaepartis clone Eb-11 transposon...
6010,KT025051.1,KT025051.1 Eremopyrum bonaepartis clone Eb-12 transposon...
6011,KT025052.1,KT025052.1 Eremopyrum bonaepartis clone Eb-14 transposon...
6012,KT025053.1,KT025053.1 Eremopyrum bonaepartis clone Eb-15 transposon...
6013,KT025054.1,KT025054.1 Eremopyrum bonaepartis clone Eb-18 transposon...
6014,KT025055.1,KT025055.1 Eremopyrum bonaepartis clone Eb-20 transposon...
6015,KT025056.1,KT025056.1 Eremopyrum bonaepartis clone Eb-21 transposon...
6016,KT025057.1,KT025057.1 Eremopyrum bonaepartis clone Eb-6 transposon...
6017,KT025058.1,KT025058.1 Eremopyrum bonaepartis clone Eb-7 transposon...
6018,KT025059.1,KT025059.1 Henrardia persica clone Hpe-10 transposon...
6019,KT025060.1,KT025060.1 Henrardia persica clone Hpe-12 transposon...
6020,KT025061.1,KT025061.1 Henrardia persica clone Hpe-18 transposon...
6021,KT025062.1,KT025062.1 Henrardia persica clone Hpe-19 transposon...
6022,KT025063.1,KT025063.1 Henrardia persica clone Hpe-4 transposon...
6023,KT025064.1,KT025064.1 Henrardia persica clone Hpe-7 transposon...
6024,KT025065.1,KT025065.1 Henrardia persica clone Hpe-25 transposon...
6025,KT025066.1,KT025066.1 Henrardia persica clone Hpe-26 transposon...
6026,KT025067.1,KT025067.1 Henrardia persica clone Hpe-27 transposon...
6027,KT025068.1,KT025068.1 Henrardia persica clone Hpe-28 transposon...
6028,KT025069.1,KT025069.1 Heteranthelium piliferum clone Hpi-1 transposon...
6029,KT025070.1,KT025070.1 Heteranthelium piliferum clone Hpi-22 transposon...
6030,KT025071.1,KT025071.1 Heteranthelium piliferum clone Hpi-3 transposon...
6031,KT025072.1,KT025072.1 Heteranthelium piliferum clone Hpi-4 transposon...
6032,KT025073.1,KT025073.1 Heteranthelium piliferum clone Hpi-25 transposon...
6033,KT025074.1,KT025074.1 Heteranthelium piliferum clone Hpi-27 transposon...
6034,KT025075.1,KT025075.1 Heteranthelium piliferum clone Hpi-29 transposon...
6035,KT025076.1,KT025076.1 Heteranthelium piliferum clone Hpi-30 transposon...
6036,KT025077.1,KT025077.1 Heteranthelium piliferum clone Hpi-31 transposon...
6037,KT025078.1,KT025078.1 Hordeum bogdanii clone Hb-1 transposon...
6038,KT025079.1,KT025079.1 Hordeum bogdanii clone Hb-10 transposon...
6039,KT025080.1,KT025080.1 Hordeum bogdanii clone Hb-11 transposon...
6040,KT025081.1,KT025081.1 Hordeum bogdanii clone Hb-2 transposon...
6041,KT025082.1,KT025082.1 Hordeum bogdanii clone Hb-4 transposon...
6042,KT025083.1,KT025083.1 Hordeum bogdanii clone Hb-13 transposon...
6043,KT025084.1,KT025084.1 Hordeum bogdanii clone Hb-5 transposon...
6044,KT025085.1,KT025085.1 Hordeum bogdanii clone Hb-6 transposon...
6045,KT025086.1,KT025086.1 Hordeum bogdanii clone Hb-15 transposon...
6046,KT025087.1,KT025087.1 Hordeum bogdanii clone Hb-7 transposon...
6047,KT025088.1,KT025088.1 Hordeum bogdanii clone Hb-8 transposon...
6048,KT025089.1,KT025089.1 Hordeum bogdanii clone Hb-9 transposon...
6049,KT025090.1,KT025090.1 Peridictyon sanctum clone Psa-1 transposon...
6050,KT025091.1,KT025091.1 Peridictyon sanctum clone Psa-10 transposon...
6051,KT025092.1,KT025092.1 Peridictyon sanctum clone Psa-12 transposon...
6052,KT025093.1,KT025093.1 Peridictyon sanctum clone Psa-15 transposon...
6053,KT025094.1,KT025094.1 Peridictyon sanctum clone Psa-16 transposon...
6054,KT025095.1,KT025095.1 Peridictyon sanctum clone Psa-17 transposon...
6055,KT025096.1,KT025096.1 Peridictyon sanctum clone Psa-19 transposon...
6056,KT025097.1,KT025097.1 Peridictyon sanctum clone Psa-20 transposon...
6057,KT025098.1,KT025098.1 Peridictyon sanctum clone Psa-21 transposon...
6058,KT025099.1,KT025099.1 Peridictyon sanctum clone Psa-22 transposon...
6059,KT025100.1,KT025100.1 Peridictyon sanctum clone Psa-3 transposon...
6060,KT025101.1,KT025101.1 Peridictyon sanctum clone Psa-4 transposon...
6061,KT025102.1,KT025102.1 Peridictyon sanctum clone Psa-5 transposon...
6062,KT025103.1,KT025103.1 Peridictyon sanctum clone Psa-7 transposon...
6063,KT025104.1,KT025104.1 Hordeum chilense clone Hc-9 transposon...
6064,KT025105.1,KT025105.1 Hordeum chilense clone Hc-2 transposon...
6065,KT025106.1,KT025106.1 Hordeum chilense clone Hc-4 transposon...
6066,KT025107.1,KT025107.1 Hordeum chilense clone Hc-6 transposon...
6067,KT025108.1,KT025108.1 Hordeum chilense clone Hc-8 transposon...
6068,KT025109.1,KT025109.1 Hordeum chilense clone Hc-10 transposon...
6069,KT025110.1,KT025110.1 Hordeum chilense clone Hc-12 transposon...
6070,KT025111.1,KT025111.1 Hordeum chilense clone Hc-13 transposon...
6071,KT025112.1,KT025112.1 Hordeum chilense clone Hc-14 transposon...
6072,KT025113.1,KT025113.1 Hordeum chilense clone Hc-18 transposon...
6073,KT025114.1,KT025114.1 Hordeum chilense clone Hc-20 transposon...
6074,KT025115.1,KT025115.1 Hordeum chilense clone Hc-21 transposon...
6075,KT025116.1,KT025116.1 Hordeum chilense clone Hc-23 transposon...
6076,KT025117.1,KT025117.1 Hordeum chilense clone Hc-24 transposon...
6077,KT025118.1,KT025118.1 Psathyrostachys fragilis clone Pf-1 transposon...
6078,KT025119.1,KT025119.1 Psathyrostachys fragilis clone Pf-10 transposon...
6079,KT025120.1,KT025120.1 Psathyrostachys fragilis clone Pf-13 transposon...
6080,KT025121.1,KT025121.1 Psathyrostachys fragilis clone Pf-15 transposon...
6081,KT025122.1,KT025122.1 Psathyrostachys fragilis clone Pf-2 transposon...
6082,KT025123.1,KT025123.1 Psathyrostachys fragilis clone Pf-4 transposon...
6083,KT025124.1,KT025124.1 Psathyrostachys fragilis clone Pf-6 transposon...
6084,KT025125.1,KT025125.1 Psathyrostachys fragilis clone Pf-9 transposon...
6085,KT025126.1,KT025126.1 Psathyrostachys juncea clone Pj-1 transposon...
6086,KT025127.1,KT025127.1 Psathyrostachys juncea clone Pj-3 transposon...
6087,KT025128.1,KT025128.1 Psathyrostachys juncea clone Pj-4 transposon...
6088,KT025129.1,KT025129.1 Psathyrostachys juncea clone Pj-5 transposon...
6089,KT025130.1,KT025130.1 Psathyrostachys juncea clone Pj-6 transposon...
6090,KT025131.1,KT025131.1 Psathyrostachys juncea clone Pj-9 transposon...
6091,KT025132.1,KT025132.1 Psathyrostachys juncea clone Pj-7 transposon...
6092,KT025133.1,KT025133.1 Elymus libanoticus clone Pl-1 transposon...
6093,KT025134.1,KT025134.1 Elymus libanoticus clone Pl-13 transposon...
6094,KT025135.1,KT025135.1 Elymus libanoticus clone Pl-14 transposon...
6095,KT025136.1,KT025136.1 Elymus libanoticus clone Pl-16 transposon...
6096,KT025137.1,KT025137.1 Elymus libanoticus clone Pl-17 transposon...
6097,KT025138.1,KT025138.1 Elymus libanoticus clone Pl-18 transposon...
6098,KT025139.1,KT025139.1 Elymus libanoticus clone Pl-19 transposon...
6099,KT025140.1,KT025140.1 Elymus libanoticus clone Pl-4 transposon...
6100,KT025141.1,KT025141.1 Elymus libanoticus clone Pl-5 transposon...
6101,KT025142.1,KT025142.1 Elymus libanoticus clone Pl-6 transposon...
6102,KT025143.1,KT025143.1 Elymus libanoticus clone Pl-7 transposon...
6103,KT025144.1,KT025144.1 Elymus spicatus clone Psp-1 transposon...
6104,KT025145.1,KT025145.1 Elymus spicatus clone Psp-19 transposon...
6105,KT025146.1,KT025146.1 Elymus spicatus clone Psp-5 transposon...
6106,KT025147.1,KT025147.1 Elymus spicatus clone Psp-8 transposon...
6107,KT025148.1,KT025148.1 Elymus spicatus clone Psp-2 transposon...
6108,KT025149.1,KT025149.1 Elymus spicatus clone Psp-18 transposon...
6109,KT025150.1,KT025150.1 Elymus spicatus clone Psp-31 transposon...
6110,KT025151.1,KT025151.1 Elymus spicatus clone Psp-28 transposon...
6111,KT025152.1,KT025152.1 Elymus spicatus clone Psp-27 transposon...
